id,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
36759,satisfied,Male,Loyal Customer,21,Business travel,Business,3527,5,5,5,5,3,3,3,5,3,4,3,3,5,3,54,49.0
29902,neutral or dissatisfied,Male,disloyal Customer,57,Business travel,Eco,1560,3,0,3,1,1,3,1,1,2,3,3,5,3,1,0,0.0
121863,satisfied,Male,Loyal Customer,58,Business travel,Business,2824,5,5,5,5,3,5,5,4,4,4,4,5,4,4,0,0.0
84031,neutral or dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco Plus,1876,4,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70.0
16238,satisfied,Female,Loyal Customer,62,Personal Travel,Business,959,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0.0
6257,neutral or dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco Plus,1951,4,5,4,1,2,4,2,2,3,1,3,5,5,2,0,0.0
8345,satisfied,Male,Loyal Customer,47,Business travel,Business,3835,4,5,4,4,4,4,4,5,4,5,5,4,4,4,933,920.0
5910,neutral or dissatisfied,Female,disloyal Customer,29,Business travel,Eco,1859,1,0,1,4,5,1,5,5,5,2,4,5,2,5,3,5.0
110147,neutral or dissatisfied,Male,Loyal Customer,9,Business travel,Business,5397,3,3,3,3,3,3,3,3,2,4,3,3,2,3,8,19.0
115062,satisfied,Male,Loyal Customer,80,Business travel,Business,2727,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0.0
5803,neutral or dissatisfied,Male,disloyal Customer,32,Business travel,Business,1565,3,3,3,3,2,3,2,2,5,2,4,3,4,2,0,0.0
68005,satisfied,Female,Loyal Customer,55,Business travel,Business,309,1,1,1,1,2,4,4,5,5,5,5,3,5,5,0,0.0
119131,satisfied,Female,Loyal Customer,43,Business travel,Business,1730,3,3,3,3,2,4,4,5,5,5,5,5,5,3,1,8.0
10394,satisfied,Male,Loyal Customer,52,Business travel,Business,2135,1,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0.0
48199,neutral or dissatisfied,Female,disloyal Customer,17,Business travel,Eco,1451,1,3,1,3,3,1,3,3,5,3,3,5,3,3,10,4.0
90497,satisfied,Female,Loyal Customer,40,Business travel,Business,2285,5,5,5,5,2,2,2,3,2,5,4,2,4,2,211,213.0
77068,neutral or dissatisfied,Female,Loyal Customer,44,Business travel,Business,3265,3,4,4,4,1,4,3,3,3,3,3,1,3,4,0,0.0
66943,satisfied,Male,Loyal Customer,41,Business travel,Business,1144,1,1,4,1,4,4,5,5,5,5,5,4,5,3,0,0.0
129187,satisfied,Male,Loyal Customer,41,Business travel,Business,2466,5,5,5,5,4,4,4,5,5,5,5,5,5,4,0,0.0
42474,satisfied,Female,Loyal Customer,57,Business travel,Business,429,5,5,3,5,1,2,1,4,4,4,4,1,4,3,0,0.0
20670,neutral or dissatisfied,Male,Loyal Customer,51,Business travel,Business,3549,1,1,1,1,1,4,3,1,1,1,1,4,1,1,0,7.0
110828,satisfied,Female,Loyal Customer,40,Business travel,Business,2789,3,3,4,3,4,4,5,4,4,5,4,3,4,4,36,42.0
71415,satisfied,Male,Loyal Customer,43,Business travel,Business,3020,1,1,1,1,5,5,5,4,4,4,4,5,4,3,55,54.0
98466,neutral or dissatisfied,Male,Loyal Customer,54,Business travel,Business,4882,2,3,5,5,3,2,4,2,1,4,3,4,2,4,326,317.0
120769,satisfied,Female,Loyal Customer,45,Business travel,Business,684,2,2,1,2,2,4,4,4,4,4,4,3,4,4,0,0.0
105610,satisfied,Female,Loyal Customer,54,Personal Travel,Business,864,4,4,4,4,4,4,4,4,5,2,5,5,5,4,13,0.0
113909,neutral or dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,3205,1,4,1,3,2,1,2,2,4,2,3,1,4,2,14,8.0
86774,neutral or dissatisfied,Female,Loyal Customer,29,Business travel,Business,3842,1,3,3,3,1,1,1,1,1,3,4,4,4,1,0,0.0
10027,satisfied,Female,Loyal Customer,37,Business travel,Business,2326,5,5,5,5,5,4,4,5,5,5,5,3,5,3,25,28.0
50970,satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1809,3,5,3,3,5,5,5,5,3,3,5,3,4,5,128,126.0
86100,satisfied,Female,Loyal Customer,70,Personal Travel,Business,233,0,0,0,3,3,1,3,2,2,2,2,3,2,1,35,40.0
101166,neutral or dissatisfied,Male,Loyal Customer,34,Business travel,Business,1950,2,3,3,3,4,3,3,2,2,2,2,3,2,3,90,90.0
34878,neutral or dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,3893,1,4,1,3,1,2,2,5,4,3,4,2,4,2,16,40.0
124631,neutral or dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,3100,1,5,1,3,2,1,2,2,5,4,2,4,3,2,0,0.0
41831,neutral or dissatisfied,Female,disloyal Customer,40,Business travel,Business,1857,3,3,3,3,5,3,5,5,1,3,5,1,1,5,0,0.0
80496,satisfied,Female,Loyal Customer,54,Business travel,Business,1779,1,1,1,1,5,3,5,4,4,4,4,5,4,3,0,3.0
79334,satisfied,Male,Loyal Customer,28,Business travel,Business,5106,3,3,4,3,5,5,5,5,3,2,4,4,5,5,41,22.0
54420,neutral or dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,1838,2,5,2,2,2,2,2,2,3,4,5,3,5,2,9,1.0
125100,neutral or dissatisfied,Male,Loyal Customer,43,Business travel,Eco,1380,4,3,3,3,4,4,4,4,1,2,2,3,3,4,0,0.0
48407,satisfied,Female,Loyal Customer,54,Business travel,Business,3624,1,1,1,1,5,4,4,2,2,2,2,3,2,4,0,7.0
80617,satisfied,Female,Loyal Customer,17,Business travel,Business,1557,4,4,1,4,4,4,4,4,3,3,3,1,1,4,0,0.0
123321,neutral or dissatisfied,Female,Loyal Customer,25,Business travel,Eco Plus,2183,1,3,4,4,1,1,2,1,1,3,4,4,3,1,1,7.0
72620,neutral or dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,1561,4,4,4,3,5,4,5,5,3,2,5,3,5,5,0,0.0
73932,neutral or dissatisfied,Male,Loyal Customer,64,Business travel,Business,2384,1,1,1,1,3,2,3,1,1,1,1,4,1,4,3,0.0
124626,satisfied,Female,Loyal Customer,22,Personal Travel,Eco,3065,2,2,2,2,4,4,5,4,4,4,5,1,4,3,10,0.0
119834,satisfied,Female,Loyal Customer,56,Business travel,Business,917,2,2,2,2,3,5,4,4,4,4,4,4,4,5,0,1.0
104480,neutral or dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,2951,4,3,4,3,2,4,2,2,2,4,3,1,3,2,0,0.0
6240,neutral or dissatisfied,Female,disloyal Customer,18,Business travel,Eco,2155,3,2,3,3,3,3,5,3,4,3,3,1,4,3,7,21.0
13788,satisfied,Female,Loyal Customer,44,Personal Travel,Eco,974,5,5,5,5,5,5,5,5,2,2,5,5,5,5,16,1.0
59391,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,3632,0,0,0,4,4,5,4,4,4,4,4,5,4,5,8,0.0
62031,neutral or dissatisfied,Male,disloyal Customer,40,Business travel,Business,3989,2,2,2,3,5,2,5,5,4,5,4,3,4,5,0,0.0
9555,satisfied,Female,Loyal Customer,54,Business travel,Business,3680,2,2,2,2,3,5,5,5,5,5,5,5,5,5,39,40.0
96184,neutral or dissatisfied,Female,disloyal Customer,39,Business travel,Business,2156,3,3,3,4,3,3,3,3,4,3,3,1,4,3,0,4.0
69541,neutral or dissatisfied,Female,Loyal Customer,26,Business travel,Business,3305,3,3,3,3,3,3,3,1,2,2,3,3,1,3,8,14.0
25485,neutral or dissatisfied,Female,disloyal Customer,26,Business travel,Eco,1596,4,3,4,2,4,4,4,4,5,5,2,4,3,4,0,0.0
76953,neutral or dissatisfied,Female,disloyal Customer,31,Business travel,Business,3568,2,2,2,2,5,2,5,5,3,2,3,4,4,5,18,6.0
44570,neutral or dissatisfied,Male,disloyal Customer,36,Business travel,Eco,805,2,0,2,4,3,2,5,3,5,4,5,1,1,3,6,0.0
67341,satisfied,Male,Loyal Customer,39,Business travel,Eco,2395,5,3,3,3,5,5,5,5,3,5,1,5,5,5,0,0.0
5938,satisfied,Female,Loyal Customer,58,Business travel,Business,88,5,5,4,5,5,5,5,5,5,5,4,3,5,4,4,10.0
122146,satisfied,Male,Loyal Customer,31,Business travel,Business,1716,1,1,1,1,3,3,3,3,3,4,4,3,4,3,20,22.0
98563,neutral or dissatisfied,Male,Loyal Customer,38,Personal Travel,Business,1030,3,4,3,4,4,4,4,4,4,3,4,3,4,5,0,0.0
78306,satisfied,Female,Loyal Customer,54,Business travel,Business,1606,5,5,5,5,3,3,4,5,5,5,5,4,5,4,3,0.0
49142,satisfied,Male,Loyal Customer,39,Business travel,Business,1932,5,5,5,5,4,2,5,5,5,5,5,4,5,3,0,0.0
53642,neutral or dissatisfied,Female,Loyal Customer,21,Personal Travel,Eco,3067,4,1,4,2,3,4,3,3,4,4,3,3,3,3,0,19.0
21462,satisfied,Female,Loyal Customer,65,Business travel,Eco,388,4,1,3,1,1,4,1,4,4,4,4,3,4,4,2,1.0
74158,neutral or dissatisfied,Male,Loyal Customer,30,Personal Travel,Eco,2050,3,3,3,3,4,3,1,4,4,3,3,5,5,4,0,0.0
105589,neutral or dissatisfied,Male,Loyal Customer,45,Personal Travel,Eco,1531,2,4,2,5,2,2,2,2,5,2,5,3,5,2,0,0.0
47624,satisfied,Female,Loyal Customer,45,Business travel,Business,1367,5,5,5,5,4,3,2,5,5,5,5,3,5,4,0,9.0
92742,satisfied,Male,Loyal Customer,39,Personal Travel,Eco,2990,0,5,0,1,4,0,4,4,5,2,5,4,4,4,68,63.0
114109,satisfied,Female,Loyal Customer,27,Business travel,Business,1986,4,4,4,4,5,5,5,5,4,3,4,4,4,5,6,0.0
116597,satisfied,Female,Loyal Customer,40,Business travel,Business,467,2,2,2,2,2,4,4,4,4,4,4,4,4,3,45,31.0
98397,neutral or dissatisfied,Female,Loyal Customer,56,Business travel,Eco,496,1,3,3,3,4,4,4,1,1,1,1,3,1,3,0,0.0
35108,neutral or dissatisfied,Male,disloyal Customer,27,Business travel,Eco,2280,2,2,2,3,3,2,3,3,1,4,5,2,4,3,0,0.0
41867,satisfied,Female,Loyal Customer,43,Personal Travel,Eco,488,1,1,1,1,4,5,4,4,4,4,4,4,4,5,51,66.0
11806,neutral or dissatisfied,Male,Loyal Customer,32,Personal Travel,Eco Plus,1967,2,3,2,4,2,2,2,2,4,4,4,4,3,2,16,5.0
35078,satisfied,Female,Loyal Customer,13,Personal Travel,Business,2674,1,1,1,1,5,5,4,4,4,5,4,3,4,3,18,11.0
25412,neutral or dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,2523,4,3,3,3,2,3,2,2,2,3,4,3,4,2,13,18.0
44288,satisfied,Female,disloyal Customer,27,Business travel,Eco,2583,4,4,4,3,5,4,5,5,4,4,5,2,2,5,8,7.0
18518,satisfied,Male,disloyal Customer,25,Business travel,Eco,1501,5,4,5,5,4,5,4,4,2,5,5,4,4,4,0,0.0
74471,satisfied,Male,Loyal Customer,31,Business travel,Business,2002,4,4,4,4,5,5,5,5,3,5,5,4,4,5,0,0.0
48708,satisfied,Male,Loyal Customer,35,Business travel,Business,443,2,2,2,2,3,5,5,2,2,2,2,4,2,5,14,14.0
61702,satisfied,Male,disloyal Customer,20,Business travel,Business,2878,0,0,0,4,4,0,1,4,5,4,5,4,4,4,0,0.0
47085,neutral or dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,2586,2,3,2,3,5,2,5,5,1,1,3,3,4,5,16,44.0
114977,satisfied,Female,Loyal Customer,56,Business travel,Business,343,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,2.0
13643,neutral or dissatisfied,Female,Loyal Customer,36,Personal Travel,Eco Plus,1788,4,5,4,3,3,4,4,3,4,4,4,5,4,3,50,62.0
122463,satisfied,Female,disloyal Customer,22,Business travel,Business,1744,5,0,5,5,5,5,5,5,5,3,5,4,5,5,0,0.0
65978,neutral or dissatisfied,Male,disloyal Customer,20,Business travel,Eco,2326,2,2,2,4,1,2,5,1,2,2,4,2,4,1,68,50.0
109542,satisfied,Female,Loyal Customer,63,Personal Travel,Eco,908,4,4,4,4,5,4,4,5,5,5,5,4,5,3,6,7.0
89356,satisfied,Male,Loyal Customer,10,Personal Travel,Eco,2657,4,1,4,1,3,4,3,3,3,3,2,4,1,3,0,0.0
120860,satisfied,Male,Loyal Customer,37,Business travel,Business,2129,2,2,2,2,2,4,4,2,2,2,2,4,2,3,0,0.0
9694,neutral or dissatisfied,Female,Loyal Customer,16,Personal Travel,Eco,1360,4,2,4,3,5,4,5,5,4,3,3,1,2,5,120,97.0
35475,neutral or dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,2000,3,4,3,2,3,3,3,3,4,3,4,5,4,3,0,0.0
34171,neutral or dissatisfied,Male,disloyal Customer,29,Business travel,Business,2165,3,3,3,3,4,3,3,4,2,4,3,1,3,4,91,90.0
14232,neutral or dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco Plus,2166,2,4,2,3,4,2,4,4,4,3,5,3,4,4,0,0.0
41205,satisfied,Male,Loyal Customer,54,Business travel,Eco,2410,4,5,5,5,4,4,4,4,1,1,5,1,4,4,88,79.0
94034,satisfied,Female,Loyal Customer,22,Business travel,Business,4089,3,3,3,3,4,4,4,4,5,5,4,5,4,4,15,0.0
101581,satisfied,Male,disloyal Customer,20,Business travel,Business,2671,4,5,4,3,4,4,4,4,4,2,5,4,4,4,0,0.0
107371,neutral or dissatisfied,Female,Loyal Customer,41,Business travel,Eco Plus,622,2,1,2,1,4,2,2,2,2,2,2,2,2,2,6,2.0
102249,neutral or dissatisfied,Female,Loyal Customer,59,Business travel,Eco,452,3,4,4,4,4,2,2,3,3,3,3,1,3,1,0,0.0
129573,neutral or dissatisfied,Female,disloyal Customer,26,Business travel,Eco Plus,3889,2,2,2,4,2,2,5,2,3,5,3,4,4,2,0,0.0
61254,neutral or dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,2423,4,4,4,3,3,4,3,3,2,3,4,2,4,3,9,36.0
10051,neutral or dissatisfied,Female,Loyal Customer,51,Business travel,Eco,356,3,1,1,1,5,3,3,3,3,3,3,4,3,3,55,44.0
96703,neutral or dissatisfied,Female,Loyal Customer,38,Business travel,Eco,2281,4,3,4,3,4,4,4,4,2,3,4,1,4,4,6,16.0
23129,satisfied,Female,Loyal Customer,56,Business travel,Business,3908,4,1,4,4,2,5,1,5,5,4,5,3,5,4,103,85.0
23695,satisfied,Female,Loyal Customer,43,Business travel,Eco,292,4,1,1,1,4,2,5,4,4,4,4,5,4,3,0,0.0
37657,satisfied,Female,Loyal Customer,15,Personal Travel,Eco,2242,5,5,5,5,3,5,4,4,4,4,4,5,4,3,10,0.0
85365,neutral or dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco Plus,2279,1,2,1,4,1,1,1,1,1,1,3,2,4,1,11,15.0
123927,neutral or dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco,1378,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0.0
7010,satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1950,0,3,0,3,0,3,3,4,3,4,4,3,2,3,151,214.0
53121,neutral or dissatisfied,Male,disloyal Customer,19,Business travel,Eco,3083,3,3,3,4,4,3,4,4,3,2,3,3,4,4,4,11.0
38848,neutral or dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco Plus,1887,2,1,3,3,2,3,2,2,1,5,3,2,4,2,31,32.0
25354,neutral or dissatisfied,Male,Loyal Customer,57,Business travel,Business,2015,4,2,2,2,5,4,3,4,4,3,4,3,4,1,8,24.0
75596,satisfied,Male,Loyal Customer,27,Personal Travel,Eco,1142,5,5,5,5,3,5,3,3,5,2,5,3,4,3,1,0.0
51447,neutral or dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco Plus,1352,3,2,3,3,4,3,4,4,2,3,4,2,3,4,1,3.0
88545,satisfied,Female,Loyal Customer,21,Personal Travel,Eco,1854,5,5,5,5,3,5,4,5,5,5,4,4,5,3,17,20.0
109778,satisfied,Male,Loyal Customer,42,Business travel,Business,3747,5,5,5,5,3,5,5,5,5,5,5,4,5,4,7,0.0
42642,neutral or dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco,2051,4,4,4,1,4,4,4,4,5,2,4,3,4,4,0,0.0
107575,neutral or dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2608,4,4,4,3,5,4,2,5,3,2,5,3,5,5,5,6.0
9072,neutral or dissatisfied,Female,disloyal Customer,28,Business travel,Eco,1447,4,2,4,4,1,4,1,1,2,4,3,1,4,1,52,44.0
45254,satisfied,Female,Loyal Customer,24,Personal Travel,Eco Plus,1842,2,2,2,2,5,5,5,5,5,2,4,5,4,5,0,0.0
120963,neutral or dissatisfied,Male,Loyal Customer,17,Business travel,Business,4767,2,5,5,5,2,2,2,2,3,4,4,4,3,2,8,107.0
36103,satisfied,Female,Loyal Customer,56,Personal Travel,Eco,506,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0.0
47884,satisfied,Male,Loyal Customer,38,Business travel,Business,2615,5,5,5,5,4,1,3,4,4,4,4,1,4,5,4,0.0
107743,neutral or dissatisfied,Female,Loyal Customer,62,Personal Travel,Eco,1927,2,1,2,3,2,3,3,2,1,3,4,3,2,3,249,288.0
123467,satisfied,Male,Loyal Customer,42,Business travel,Business,2147,1,1,1,1,2,3,5,5,5,5,5,4,5,5,3,30.0
118950,neutral or dissatisfied,Male,disloyal Customer,33,Business travel,Eco,2283,1,1,1,3,1,3,4,3,3,3,3,4,4,4,206,243.0
94100,satisfied,Female,Loyal Customer,55,Personal Travel,Business,598,3,3,3,3,1,3,4,5,5,5,5,5,5,5,8,8.0
45361,neutral or dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,992,1,4,1,1,1,1,1,1,4,3,4,5,5,1,0,0.0
95853,satisfied,Male,Loyal Customer,54,Business travel,Business,597,3,3,3,3,2,4,4,4,4,4,4,4,4,4,6,0.0
12077,satisfied,Female,Loyal Customer,32,Business travel,Eco Plus,2115,0,0,0,1,1,0,1,1,1,4,4,4,5,1,5,0.0
110058,neutral or dissatisfied,Female,Loyal Customer,17,Personal Travel,Eco,3745,3,1,3,2,3,5,2,1,3,1,3,2,2,2,139,142.0
104699,neutral or dissatisfied,Male,disloyal Customer,37,Business travel,Eco,1760,2,3,1,3,1,4,4,4,4,4,4,4,4,4,180,217.0
79089,neutral or dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,1647,2,4,2,3,3,2,3,3,4,3,4,3,1,3,0,0.0
3342,satisfied,Male,Loyal Customer,47,Business travel,Business,3294,3,3,2,3,4,5,5,4,4,4,4,5,4,5,0,9.0
37667,neutral or dissatisfied,Female,Loyal Customer,66,Personal Travel,Eco,1134,4,3,4,3,4,4,5,3,3,4,3,5,3,2,0,0.0
122346,satisfied,Female,Loyal Customer,54,Business travel,Business,2600,3,3,3,3,2,5,5,2,2,2,2,4,2,4,14,0.0
119096,satisfied,Female,Loyal Customer,48,Business travel,Business,2095,3,3,3,3,2,4,4,4,4,4,4,3,4,3,2,0.0
100335,satisfied,Male,Loyal Customer,33,Business travel,Business,1880,2,2,2,2,4,4,4,4,2,5,3,5,4,4,14,2.0
26564,neutral or dissatisfied,Male,Loyal Customer,39,Business travel,Business,452,2,5,2,5,4,2,2,2,2,2,2,3,2,4,23,17.0
