Anio,Mes,Cliente,Producto,Unidades_vendidas,Precio_por_unidad,Venta_total
2019,Jan,Customer 446,Product A,77,72.55920558,5587.05883
2019,Jan,Customer 359,Product C,9,87.09591868,783.8632681
2019,Jan,Customer 225,Product C,44,87.09591868,3832.220422
2019,Jan,Customer 315,Product A,52,72.55920558,3773.07869
2019,Jan,Customer 497,Product B,52,90.00859829,4680.447111
2019,Jan,Customer 295,Product B,3,90.00859829,270.0257949
2019,Jan,Customer 113,Product A,59,72.55920558,4280.993129
2019,Jan,Customer 130,Product D,54,24.47930621,1321.882535
2019,Jan,Customer 224,Product A,1,72.55920558,72.55920558
2019,Jan,Customer 130,Product E,44,62.53435625,2751.511675
2019,Jan,Customer 198,Product D,55,24.47930621,1346.361842
2019,Jan,Customer 123,Product A,38,72.55920558,2757.249812
2019,Jan,Customer 372,Product B,70,90.00859829,6300.60188
2019,Jan,Customer 240,Product A,73,72.55920558,5296.822007
2019,Jan,Customer 326,Product E,3,62.53435625,187.6030688
2019,Jan,Customer 443,Product D,19,24.47930621,465.106818
2019,Jan,Customer 147,Product D,96,24.47930621,2350.013396
2019,Jan,Customer 489,Product A,40,72.55920558,2902.368223
2019,Jan,Customer 338,Product A,11,72.55920558,798.1512614
2019,Jan,Customer 473,Product B,23,90.00859829,2070.197761
2019,Jan,Customer 298,Product C,7,87.09591868,609.6714308
2019,Jan,Customer 346,Product A,60,72.55920558,4353.552335
2019,Jan,Customer 385,Product D,69,24.47930621,1689.072128
2019,Jan,Customer 9,Product A,99,72.55920558,7183.361352
2019,Jan,Customer 208,Product C,20,87.09591868,1741.918374
2019,Jan,Customer 120,Product A,24,72.55920558,1741.420934
2019,Jan,Customer 113,Product D,38,24.47930621,930.213636
2019,Jan,Customer 254,Product C,89,87.09591868,7751.536763
2019,Jan,Customer 349,Product B,82,90.00859829,7380.70506
2019,Jan,Customer 163,Product E,41,62.53435625,2563.908606
2019,Jan,Customer 68,Product A,14,72.55920558,1015.828878
2019,Jan,Customer 404,Product C,17,87.09591868,1480.630618
2019,Jan,Customer 176,Product D,59,24.47930621,1444.279066
2019,Jan,Customer 375,Product E,51,62.53435625,3189.252169
2019,Jan,Customer 283,Product C,98,87.09591868,8535.400031
2019,Jan,Customer 97,Product D,64,24.47930621,1566.675597
2019,Jan,Customer 317,Product C,4,87.09591868,348.3836747
2019,Jan,Customer 49,Product A,44,72.55920558,3192.605046
2019,Jan,Customer 477,Product E,6,62.53435625,375.2061375
2019,Jan,Customer 233,Product E,24,62.53435625,1500.82455
2019,Jan,Customer 302,Product E,95,62.53435625,5940.763844
2019,Jan,Customer 481,Product D,63,24.47930621,1542.196291
2019,Feb,Customer 416,Product A,67,72.55920558,4861.466774
2019,Feb,Customer 281,Product B,95,90.00859829,8550.816838
2019,Feb,Customer 323,Product B,32,90.00859829,2880.275145
2019,Feb,Customer 151,Product B,27,90.00859829,2430.232154
2019,Feb,Customer 474,Product A,33,72.55920558,2394.453784
2019,Feb,Customer 246,Product E,42,62.53435625,2626.442963
2019,Feb,Customer 355,Product B,25,90.00859829,2250.214957
2019,Feb,Customer 316,Product B,7,90.00859829,630.060188
2019,Feb,Customer 173,Product D,65,24.47930621,1591.154904
2019,Feb,Customer 494,Product D,87,24.47930621,2129.69964
2019,Feb,Customer 354,Product B,32,90.00859829,2880.275145
2019,Feb,Customer 342,Product C,25,87.09591868,2177.397967
2019,Feb,Customer 190,Product E,22,62.53435625,1375.755838
2019,Feb,Customer 342,Product A,52,72.55920558,3773.07869
2019,Feb,Customer 271,Product C,60,87.09591868,5225.755121
2019,Feb,Customer 264,Product E,60,62.53435625,3752.061375
2019,Feb,Customer 5,Product D,6,24.47930621,146.8758373
2019,Feb,Customer 372,Product C,55,87.09591868,4790.275527
2019,Feb,Customer 144,Product E,30,62.53435625,1876.030688
2019,Feb,Customer 120,Product C,92,87.09591868,8012.824519
2019,Feb,Customer 346,Product E,90,62.53435625,5628.092063
2019,Feb,Customer 279,Product A,12,72.55920558,870.710467
2019,Feb,Customer 58,Product B,1,90.00859829,90.00859829
2019,Feb,Customer 96,Product A,1,72.55920558,72.55920558
2019,Feb,Customer 487,Product E,22,62.53435625,1375.755838
2019,Feb,Customer 451,Product D,26,24.47930621,636.4619615
2019,Feb,Customer 485,Product A,29,72.55920558,2104.216962
2019,Feb,Customer 69,Product A,94,72.55920558,6820.565325
2019,Feb,Customer 500,Product E,76,62.53435625,4752.611075
2019,Feb,Customer 474,Product E,39,62.53435625,2438.839894
2019,Feb,Customer 254,Product E,23,62.53435625,1438.290194
2019,Feb,Customer 246,Product E,34,62.53435625,2126.168113
2019,Feb,Customer 394,Product B,19,90.00859829,1710.163368
2019,Feb,Customer 257,Product E,4,62.53435625,250.137425
2019,Feb,Customer 336,Product B,92,90.00859829,8280.791043
2019,Feb,Customer 475,Product D,24,24.47930621,587.503349
2019,Feb,Customer 163,Product D,33,24.47930621,807.8171049
2019,Feb,Customer 179,Product C,12,87.09591868,1045.151024
2019,Feb,Customer 417,Product B,43,90.00859829,3870.369726
2019,Feb,Customer 397,Product D,95,24.47930621,2325.53409
2019,Feb,Customer 253,Product C,35,87.09591868,3048.357154
2019,Feb,Customer 90,Product E,26,62.53435625,1625.893263
2019,Feb,Customer 418,Product C,7,87.09591868,609.6714308
2019,Feb,Customer 114,Product E,75,62.53435625,4690.076719
2019,Feb,Customer 420,Product A,21,72.55920558,1523.743317
2019,Feb,Customer 164,Product B,73,90.00859829,6570.627675
2019,Feb,Customer 227,Product A,99,72.55920558,7183.361352
2019,Feb,Customer 466,Product A,96,72.55920558,6965.683736
2019,Feb,Customer 190,Product E,12,62.53435625,750.412275
2019,Feb,Customer 13,Product A,99,72.55920558,7183.361352
2019,Feb,Customer 273,Product A,62,72.55920558,4498.670746
2019,Feb,Customer 217,Product E,59,62.53435625,3689.527019
2019,Feb,Customer 100,Product D,61,24.47930621,1493.237679
2019,Feb,Customer 76,Product A,71,72.55920558,5151.703596
2019,Feb,Customer 223,Product D,83,24.47930621,2031.782415
2019,Feb,Customer 144,Product E,69,62.53435625,4314.870581
2019,Feb,Customer 25,Product D,85,24.47930621,2080.741028
2019,Feb,Customer 151,Product A,39,72.55920558,2829.809018
2019,Feb,Customer 42,Product B,39,90.00859829,3510.335333
2019,Feb,Customer 122,Product E,35,62.53435625,2188.702469
2019,Feb,Customer 235,Product C,18,87.09591868,1567.726536
2019,Feb,Customer 9,Product B,58,90.00859829,5220.498701
2019,Feb,Customer 253,Product E,40,62.53435625,2501.37425
2019,Feb,Customer 434,Product C,66,87.09591868,5748.330633
2019,Feb,Customer 165,Product C,8,87.09591868,696.7673494
2019,Feb,Customer 321,Product D,17,24.47930621,416.1482056
2019,Feb,Customer 217,Product E,4,62.53435625,250.137425
2019,Feb,Customer 252,Product C,61,87.09591868,5312.851039
2019,Feb,Customer 167,Product C,74,87.09591868,6445.097982
2019,Feb,Customer 39,Product C,45,87.09591868,3919.316341
2019,Feb,Customer 220,Product B,20,90.00859829,1800.171966
2019,Feb,Customer 317,Product A,39,72.55920558,2829.809018
2019,Feb,Customer 461,Product D,62,24.47930621,1517.716985
2019,Feb,Customer 369,Product A,56,72.55920558,4063.315512
2019,Feb,Customer 117,Product B,44,90.00859829,3960.378325
2019,Feb,Customer 173,Product E,47,62.53435625,2939.114744
2019,Feb,Customer 374,Product E,75,62.53435625,4690.076719
2019,Feb,Customer 164,Product C,19,87.09591868,1654.822455
2019,Feb,Customer 402,Product A,49,72.55920558,3555.401073
2019,Feb,Customer 415,Product A,54,72.55920558,3918.197101
2019,Feb,Customer 144,Product A,75,72.55920558,5441.940419
2019,Feb,Customer 224,Product D,24,24.47930621,587.503349
2019,Feb,Customer 8,Product B,92,90.00859829,8280.791043
2019,Mar,Customer 136,Product B,60,90.00859829,5400.515897
2019,Mar,Customer 220,Product E,41,62.53435625,2563.908606
2019,Mar,Customer 411,Product A,73,72.55920558,5296.822007
2019,Mar,Customer 212,Product E,92,62.53435625,5753.160775
2019,Mar,Customer 397,Product C,6,87.09591868,522.5755121
2019,Mar,Customer 256,Product E,47,62.53435625,2939.114744
2019,Mar,Customer 10,Product B,5,90.00859829,450.0429915
2019,Mar,Customer 289,Product A,18,72.55920558,1306.0657
2019,Mar,Customer 177,Product C,85,87.09591868,7403.153088
2019,Mar,Customer 217,Product C,27,87.09591868,2351.589804
2019,Mar,Customer 417,Product B,99,90.00859829,8910.851231
2019,Mar,Customer 405,Product D,81,24.47930621,1982.823803
2019,Mar,Customer 133,Product C,53,87.09591868,4616.08369
2019,Mar,Customer 53,Product E,74,62.53435625,4627.542363
2019,Mar,Customer 145,Product E,78,62.53435625,4877.679788
2019,Mar,Customer 1,Product C,45,87.09591868,3919.316341
2019,Mar,Customer 446,Product A,32,72.55920558,2321.894579
2019,Mar,Customer 95,Product B,34,90.00859829,3060.292342
2019,Mar,Customer 259,Product C,50,87.09591868,4354.795934
2019,Mar,Customer 54,Product D,5,24.47930621,122.3965311
2019,Mar,Customer 251,Product A,17,72.55920558,1233.506495
2019,Mar,Customer 303,Product E,85,62.53435625,5315.420281
2019,Mar,Customer 75,Product C,38,87.09591868,3309.64491
2019,Mar,Customer 226,Product B,98,90.00859829,8820.842632
2019,Mar,Customer 335,Product C,51,87.09591868,4441.891853
2019,Mar,Customer 308,Product A,38,72.55920558,2757.249812
2019,Mar,Customer 335,Product D,30,24.47930621,734.3791863
2019,Mar,Customer 51,Product A,5,72.55920558,362.7960279
2019,Mar,Customer 138,Product A,74,72.55920558,5369.381213
2019,Mar,Customer 340,Product E,34,62.53435625,2126.168113
2019,Mar,Customer 450,Product E,43,62.53435625,2688.977319
2019,Mar,Customer 371,Product A,23,72.55920558,1668.861728
2019,Mar,Customer 95,Product C,16,87.09591868,1393.534699
2019,Mar,Customer 360,Product D,56,24.47930621,1370.841148
2019,Mar,Customer 352,Product C,27,87.09591868,2351.589804
2019,Mar,Customer 434,Product E,51,62.53435625,3189.252169
2019,Mar,Customer 5,Product B,92,90.00859829,8280.791043
2019,Mar,Customer 22,Product E,70,62.53435625,4377.404938
2019,Mar,Customer 233,Product D,90,24.47930621,2203.137559
2019,Mar,Customer 433,Product B,45,90.00859829,4050.386923
2019,Mar,Customer 282,Product A,47,72.55920558,3410.282662
2019,Mar,Customer 239,Product C,63,87.09591868,5487.042877
2019,Mar,Customer 337,Product B,36,90.00859829,3240.309538
2019,Mar,Customer 113,Product C,52,87.09591868,4528.987771
2019,Mar,Customer 127,Product B,28,90.00859829,2520.240752
2019,Mar,Customer 216,Product B,26,90.00859829,2340.223556
2019,Mar,Customer 312,Product C,7,87.09591868,609.6714308
2019,Mar,Customer 407,Product C,18,87.09591868,1567.726536
2019,Mar,Customer 227,Product C,15,87.09591868,1306.43878
2019,Mar,Customer 119,Product E,28,62.53435625,1750.961975
2019,Mar,Customer 441,Product A,86,72.55920558,6240.09168
2019,Mar,Customer 300,Product A,17,72.55920558,1233.506495
2019,Mar,Customer 25,Product D,10,24.47930621,244.7930621
2019,Mar,Customer 109,Product B,86,90.00859829,7740.739453
2019,Mar,Customer 264,Product A,83,72.55920558,6022.414063
2019,Mar,Customer 101,Product D,26,24.47930621,636.4619615
2019,Mar,Customer 443,Product C,70,87.09591868,6096.714308
2019,Mar,Customer 289,Product E,22,62.53435625,1375.755838
2019,Mar,Customer 70,Product D,94,24.47930621,2301.054784
2019,Mar,Customer 318,Product A,3,72.55920558,217.6776167
2019,Mar,Customer 40,Product E,36,62.53435625,2251.236825
2019,Mar,Customer 6,Product B,84,90.00859829,7560.722256
2019,Mar,Customer 4,Product A,94,72.55920558,6820.565325
2019,Mar,Customer 435,Product A,66,72.55920558,4788.907568
2019,Mar,Customer 392,Product B,51,90.00859829,4590.438513
2019,Mar,Customer 133,Product B,68,90.00859829,6120.584684
2019,Mar,Customer 225,Product D,12,24.47930621,293.7516745
2019,Mar,Customer 90,Product E,11,62.53435625,687.8779188
2019,Mar,Customer 333,Product C,3,87.09591868,261.287756
2019,Mar,Customer 178,Product B,5,90.00859829,450.0429915
2019,Mar,Customer 172,Product B,13,90.00859829,1170.111778
2019,Mar,Customer 84,Product A,63,72.55920558,4571.229952
2019,Mar,Customer 273,Product A,75,72.55920558,5441.940419
2019,Mar,Customer 38,Product C,94,87.09591868,8187.016356
2019,Mar,Customer 69,Product D,50,24.47930621,1223.965311
2019,Mar,Customer 376,Product C,9,87.09591868,783.8632681
2019,Mar,Customer 483,Product C,1,87.09591868,87.09591868
2019,Mar,Customer 406,Product D,64,24.47930621,1566.675597
2019,Mar,Customer 267,Product A,14,72.55920558,1015.828878
2019,Mar,Customer 291,Product E,37,62.53435625,2313.771181
2019,Mar,Customer 379,Product B,62,90.00859829,5580.533094
2019,Mar,Customer 237,Product B,89,90.00859829,8010.765248
2019,Mar,Customer 328,Product C,38,87.09591868,3309.64491
2019,Apr,Customer 63,Product A,25,72.55920558,1813.98014
2019,Apr,Customer 495,Product B,78,90.00859829,7020.670667
2019,Apr,Customer 104,Product C,39,87.09591868,3396.740829
2019,Apr,Customer 134,Product C,7,87.09591868,609.6714308
2019,Apr,Customer 42,Product D,15,24.47930621,367.1895932
2019,Apr,Customer 289,Product D,94,24.47930621,2301.054784
2019,Apr,Customer 420,Product E,38,62.53435625,2376.305538
2019,Apr,Customer 485,Product C,55,87.09591868,4790.275527
2019,Apr,Customer 196,Product B,10,90.00859829,900.0859829
2019,Apr,Customer 330,Product A,38,72.55920558,2757.249812
2019,Apr,Customer 303,Product D,88,24.47930621,2154.178946
2019,Apr,Customer 15,Product E,8,62.53435625,500.27485
2019,Apr,Customer 47,Product D,76,24.47930621,1860.427272
2019,Apr,Customer 411,Product C,36,87.09591868,3135.453072
2019,Apr,Customer 299,Product C,69,87.09591868,6009.618389
2019,Apr,Customer 254,Product B,38,90.00859829,3420.326735
2019,Apr,Customer 23,Product B,46,90.00859829,4140.395521
2019,Apr,Customer 218,Product E,62,62.53435625,3877.130088
2019,Apr,Customer 481,Product D,43,24.47930621,1052.610167
2019,Apr,Customer 356,Product D,5,24.47930621,122.3965311
2019,Apr,Customer 328,Product B,92,90.00859829,8280.791043
2019,Apr,Customer 393,Product C,29,87.09591868,2525.781642
2019,Apr,Customer 297,Product C,23,87.09591868,2003.20613
2019,Apr,Customer 101,Product E,90,62.53435625,5628.092063
2019,Apr,Customer 182,Product A,1,72.55920558,72.55920558
2019,Apr,Customer 55,Product C,40,87.09591868,3483.836747
2019,Apr,Customer 431,Product A,53,72.55920558,3845.637896
2019,Apr,Customer 436,Product A,26,72.55920558,1886.539345
2019,Apr,Customer 63,Product D,25,24.47930621,611.9826553
2019,Apr,Customer 294,Product B,7,90.00859829,630.060188
2019,Apr,Customer 418,Product C,17,87.09591868,1480.630618
2019,Apr,Customer 443,Product D,51,24.47930621,1248.444617
2019,Apr,Customer 25,Product D,70,24.47930621,1713.551435
2019,Apr,Customer 161,Product A,29,72.55920558,2104.216962
2019,Apr,Customer 150,Product B,28,90.00859829,2520.240752
2019,Apr,Customer 49,Product A,84,72.55920558,6094.973269
2019,Apr,Customer 148,Product D,63,24.47930621,1542.196291
2019,Apr,Customer 49,Product A,96,72.55920558,6965.683736
2019,Apr,Customer 215,Product C,56,87.09591868,4877.371446
2019,Apr,Customer 32,Product E,49,62.53435625,3064.183456
2019,Apr,Customer 286,Product C,18,87.09591868,1567.726536
2019,Apr,Customer 371,Product B,66,90.00859829,5940.567487
2019,Apr,Customer 113,Product B,94,90.00859829,8460.808239
2019,Apr,Customer 319,Product D,1,24.47930621,24.47930621
2019,Apr,Customer 55,Product C,32,87.09591868,2787.069398
2019,Apr,Customer 467,Product B,97,90.00859829,8730.834034
2019,Apr,Customer 476,Product B,7,90.00859829,630.060188
2019,Apr,Customer 321,Product A,67,72.55920558,4861.466774
2019,Apr,Customer 443,Product E,72,62.53435625,4502.47365
2019,Apr,Customer 239,Product E,67,62.53435625,4189.801869
2019,Apr,Customer 92,Product B,35,90.00859829,3150.30094
2019,Apr,Customer 78,Product C,16,87.09591868,1393.534699
2019,Apr,Customer 165,Product E,14,62.53435625,875.4809875
2019,Apr,Customer 432,Product B,7,90.00859829,630.060188
2019,Apr,Customer 161,Product E,19,62.53435625,1188.152769
2019,Apr,Customer 403,Product D,29,24.47930621,709.8998801
2019,Apr,Customer 2,Product A,47,72.55920558,3410.282662
2019,Apr,Customer 11,Product B,2,90.00859829,180.0171966
2019,Apr,Customer 119,Product D,20,24.47930621,489.5861242
2019,Apr,Customer 422,Product A,98,72.55920558,7110.802147
2019,Apr,Customer 355,Product D,86,24.47930621,2105.220334
2019,Apr,Customer 81,Product B,30,90.00859829,2700.257949
2019,Apr,Customer 494,Product A,81,72.55920558,5877.295652
2019,Apr,Customer 40,Product B,25,90.00859829,2250.214957
2019,Apr,Customer 246,Product C,4,87.09591868,348.3836747
2019,Apr,Customer 29,Product E,98,62.53435625,6128.366913
2019,Apr,Customer 75,Product B,85,90.00859829,7650.730855
2019,Apr,Customer 41,Product B,17,90.00859829,1530.146171
2019,Apr,Customer 486,Product B,76,90.00859829,6840.65347
2019,Apr,Customer 362,Product E,27,62.53435625,1688.427619
2019,Apr,Customer 134,Product C,40,87.09591868,3483.836747
2019,Apr,Customer 237,Product A,53,72.55920558,3845.637896
2019,Apr,Customer 173,Product A,26,72.55920558,1886.539345
2019,Apr,Customer 190,Product B,46,90.00859829,4140.395521
2019,Apr,Customer 310,Product C,65,87.09591868,5661.234714
2019,Apr,Customer 292,Product C,26,87.09591868,2264.493886
2019,Apr,Customer 267,Product C,36,87.09591868,3135.453072
2019,Apr,Customer 295,Product C,54,87.09591868,4703.179609
2019,Apr,Customer 111,Product E,56,62.53435625,3501.92395
2019,Apr,Customer 36,Product D,83,24.47930621,2031.782415
2019,Apr,Customer 491,Product A,62,72.55920558,4498.670746
2019,Apr,Customer 491,Product B,73,90.00859829,6570.627675
2019,Apr,Customer 73,Product A,40,72.55920558,2902.368223
2019,May,Customer 217,Product E,43,62.53435625,2688.977319
2019,May,Customer 25,Product C,3,87.09591868,261.287756
2019,May,Customer 108,Product D,51,24.47930621,1248.444617
2019,May,Customer 354,Product D,19,24.47930621,465.106818
2019,May,Customer 443,Product C,49,87.09591868,4267.700015
2019,May,Customer 330,Product A,55,72.55920558,3990.756307
2019,May,Customer 12,Product C,8,87.09591868,696.7673494
2019,May,Customer 81,Product E,80,62.53435625,5002.7485
2019,May,Customer 25,Product B,89,90.00859829,8010.765248
2019,May,Customer 59,Product B,26,90.00859829,2340.223556
2019,May,Customer 266,Product A,23,72.55920558,1668.861728
2019,May,Customer 86,Product B,7,90.00859829,630.060188
2019,May,Customer 117,Product A,48,72.55920558,3482.841868
2019,May,Customer 315,Product E,82,62.53435625,5127.817213
2019,May,Customer 372,Product C,18,87.09591868,1567.726536
2019,May,Customer 103,Product A,14,72.55920558,1015.828878
2019,May,Customer 483,Product D,60,24.47930621,1468.758373
2019,May,Customer 131,Product E,43,62.53435625,2688.977319
2019,May,Customer 183,Product D,39,24.47930621,954.6929422
2019,May,Customer 497,Product D,93,24.47930621,2276.575478
2019,May,Customer 397,Product B,33,90.00859829,2970.283744
2019,May,Customer 426,Product D,66,24.47930621,1615.63421
2019,May,Customer 170,Product B,30,90.00859829,2700.257949
2019,May,Customer 269,Product E,18,62.53435625,1125.618413
2019,May,Customer 227,Product C,39,87.09591868,3396.740829
2019,May,Customer 29,Product A,93,72.55920558,6748.006119
2019,May,Customer 236,Product A,16,72.55920558,1160.947289
2019,May,Customer 239,Product A,10,72.55920558,725.5920558
2019,May,Customer 359,Product D,5,24.47930621,122.3965311
2019,May,Customer 177,Product C,45,87.09591868,3919.316341
2019,May,Customer 158,Product B,68,90.00859829,6120.584684
2019,May,Customer 293,Product A,48,72.55920558,3482.841868
2019,May,Customer 494,Product A,15,72.55920558,1088.388084
2019,May,Customer 344,Product D,12,24.47930621,293.7516745
2019,May,Customer 293,Product E,43,62.53435625,2688.977319
2019,May,Customer 295,Product C,62,87.09591868,5399.946958
2019,May,Customer 153,Product D,4,24.47930621,97.91722484
2019,May,Customer 148,Product E,63,62.53435625,3939.664444
2019,May,Customer 243,Product E,74,62.53435625,4627.542363
2019,May,Customer 313,Product B,41,90.00859829,3690.35253
2019,May,Customer 259,Product E,5,62.53435625,312.6717813
2019,May,Customer 215,Product A,9,72.55920558,653.0328502
2019,May,Customer 378,Product A,61,72.55920558,4426.11154
2019,May,Customer 419,Product B,82,90.00859829,7380.70506
2019,May,Customer 216,Product C,32,87.09591868,2787.069398
2019,May,Customer 269,Product E,89,62.53435625,5565.557706
2019,May,Customer 398,Product E,98,62.53435625,6128.366913
2019,May,Customer 440,Product C,92,87.09591868,8012.824519
2019,May,Customer 195,Product A,98,72.55920558,7110.802147
2019,May,Customer 9,Product A,5,72.55920558,362.7960279
2019,May,Customer 226,Product D,79,24.47930621,1933.865191
2019,May,Customer 251,Product E,48,62.53435625,3001.6491
2019,May,Customer 454,Product E,60,62.53435625,3752.061375
2019,May,Customer 284,Product E,77,62.53435625,4815.145431
2019,May,Customer 40,Product E,96,62.53435625,6003.2982
2019,May,Customer 115,Product B,67,90.00859829,6030.576085
2019,May,Customer 354,Product C,77,87.09591868,6706.385738
2019,May,Customer 262,Product C,80,87.09591868,6967.673494
2019,May,Customer 353,Product C,59,87.09591868,5138.659202
2019,May,Customer 269,Product C,45,87.09591868,3919.316341
2019,May,Customer 170,Product D,63,24.47930621,1542.196291
2019,May,Customer 188,Product E,45,62.53435625,2814.046031
2019,May,Customer 499,Product B,10,90.00859829,900.0859829
2019,May,Customer 437,Product B,2,90.00859829,180.0171966
2019,May,Customer 477,Product D,39,24.47930621,954.6929422
2019,May,Customer 13,Product C,17,87.09591868,1480.630618
2019,May,Customer 354,Product D,64,24.47930621,1566.675597
2019,May,Customer 163,Product C,30,87.09591868,2612.87756
2019,May,Customer 233,Product B,63,90.00859829,5670.541692
2019,May,Customer 335,Product E,93,62.53435625,5815.695131
2019,May,Customer 404,Product D,68,24.47930621,1664.592822
2019,May,Customer 17,Product D,22,24.47930621,538.5447366
2019,May,Customer 374,Product A,22,72.55920558,1596.302523
2019,May,Customer 210,Product B,14,90.00859829,1260.120376
2019,May,Customer 285,Product D,36,24.47930621,881.2550236
2019,May,Customer 436,Product E,76,62.53435625,4752.611075
2019,May,Customer 395,Product A,6,72.55920558,435.3552335
2019,May,Customer 416,Product C,75,87.09591868,6532.193901
2019,May,Customer 26,Product B,46,90.00859829,4140.395521
2019,May,Customer 4,Product A,99,72.55920558,7183.361352
2019,May,Customer 39,Product E,29,62.53435625,1813.496331
2019,May,Customer 288,Product B,47,90.00859829,4230.40412
2019,May,Customer 22,Product C,27,87.09591868,2351.589804
2019,Jun,Customer 382,Product D,56,24.47930621,1370.841148
2019,Jun,Customer 21,Product E,59,62.53435625,3689.527019
2019,Jun,Customer 147,Product A,69,72.55920558,5006.585185
2019,Jun,Customer 257,Product B,38,90.00859829,3420.326735
2019,Jun,Customer 445,Product C,64,87.09591868,5574.138796
2019,Jun,Customer 280,Product D,18,24.47930621,440.6275118
2019,Jun,Customer 208,Product C,72,87.09591868,6270.906145
2019,Jun,Customer 473,Product A,93,72.55920558,6748.006119
2019,Jun,Customer 79,Product C,46,87.09591868,4006.412259
2019,Jun,Customer 199,Product C,93,87.09591868,8099.920437
2019,Jun,Customer 181,Product D,3,24.47930621,73.43791863
2019,Jun,Customer 15,Product A,94,72.55920558,6820.565325
2019,Jun,Customer 273,Product D,84,24.47930621,2056.261722
2019,Jun,Customer 166,Product A,60,72.55920558,4353.552335
2019,Jun,Customer 117,Product B,88,90.00859829,7920.75665
2019,Jun,Customer 64,Product E,81,62.53435625,5065.282856
2019,Jun,Customer 274,Product B,95,90.00859829,8550.816838
2019,Jun,Customer 11,Product E,89,62.53435625,5565.557706
2019,Jun,Customer 102,Product A,8,72.55920558,580.4736446
2019,Jun,Customer 179,Product A,17,72.55920558,1233.506495
2019,Jun,Customer 46,Product D,20,24.47930621,489.5861242
2019,Jun,Customer 424,Product B,97,90.00859829,8730.834034
2019,Jun,Customer 289,Product A,77,72.55920558,5587.05883
2019,Jun,Customer 77,Product D,26,24.47930621,636.4619615
2019,Jun,Customer 194,Product B,46,90.00859829,4140.395521
2019,Jun,Customer 143,Product B,44,90.00859829,3960.378325
2019,Jun,Customer 459,Product E,67,62.53435625,4189.801869
2019,Jun,Customer 9,Product A,95,72.55920558,6893.12453
2019,Jun,Customer 370,Product D,8,24.47930621,195.8344497
2019,Jun,Customer 348,Product D,62,24.47930621,1517.716985
2019,Jun,Customer 383,Product C,84,87.09591868,7316.057169
2019,Jun,Customer 390,Product B,22,90.00859829,1980.189162
2019,Jun,Customer 3,Product A,60,72.55920558,4353.552335
2019,Jun,Customer 459,Product B,12,90.00859829,1080.103179
2019,Jun,Customer 397,Product A,45,72.55920558,3265.164251
2019,Jun,Customer 147,Product D,45,24.47930621,1101.568779
2019,Jun,Customer 119,Product E,55,62.53435625,3439.389594
2019,Jun,Customer 300,Product B,70,90.00859829,6300.60188
2019,Jun,Customer 150,Product E,96,62.53435625,6003.2982
